Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.2	0.6	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.025 +/- 0.002	0.50 +/- 0.03	0.036 +/- 0.010	5604.89 +/- 896.78	13.89 +/- 3.95	3244089.59 +/- 1916709.45	1.33e-7 +/- 2.12e-8	3.84e-8 +/- 6.14e-9	3.46 +/- 0.78	7.58e13 +/- 8.76e13	6.68e13 +/- 1.07e13	1.13 +/- 1.32	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.5	0.6	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.053 +/- 0.009	0.80 +/- 0.13	0.073 +/- 0.010	739.01 +/- 250.99	10.96 +/- 2.33	266313.19 +/- 144921.54	1.75e-8 +/- 5.94e-9	8.37e-9 +/- 2.84e-9	2.09 +/- 1.00	1.29e12 +/- 1.10e12	1.49e13 +/- 5.05e12	0.09 +/- 0.08	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.5	0.6	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	0.018 +/- 6.71e-4	1.80 +/- 0.06	0.073 +/- 0.010	12974.29 +/- 967.31	24.66 +/- 3.48	23669604.44 +/- 6909624.28	3.07e-7 +/- 2.29e-8	1.07e-7 +/- 7.95e-9	2.87 +/- 0.30	7.89e15 +/- 4.71e15	1.29e14 +/- 9.61e12	61.16 +/- 36.79	xx
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.5	0.6	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	0.026 +/- 0.002	1.54 +/- 0.11	0.073 +/- 0.010	5757.82 +/- 885.82	21.10 +/- 3.26	7690317.13 +/- 2654581.74	1.36e-7 +/- 2.10e-8	4.23e-8 +/- 6.50e-9	3.22 +/- 0.70	8.39e14 +/- 5.84e14	6.18e13 +/- 9.51e12	13.58 +/- 9.68	x
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.1	0.3	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	0.013 +/- 2.31e-4	1.13 +/- 9e-3	0.050 +/- 0.005	17060.21 +/- 606.29	22.60 +/- 2.27	26141018.58 +/- 5332878.80	4.04e-7 +/- 1.44e-8	1.95e-7 +/- 6.92e-9	2.07 +/- 0.10	6.64e15 +/- 2.77e15	2.47e14 +/- 8.79e12	26.88 +/- 11.26	xx
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.1	0.3	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.016 +/- 4.77e-4	0.94 +/- 0.02	0.050 +/- 0.005	10136.16 +/- 604.37	18.80 +/- 1.92	10747573.17 +/- 2286870.26	2.40e-7 +/- 1.43e-8	1.12e-7 +/- 6.65e-9	2.14 +/- 0.18	1.13e15 +/- 4.88e14	1.63e14 +/- 9.73e12	6.93 +/- 3.02	x
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	5.7	0.6	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	0.026 +/- 0.001	1.56 +/- 0.06	0.092 +/- 0.010	5757.82 +/- 442.91	16.96 +/- 1.96	4968565.67 +/- 1210324.82	1.36e-7 +/- 1.05e-8	4.23e-8 +/- 3.25e-9	3.22 +/- 0.35	4.44e14 +/- 2.19e14	6.18e13 +/- 4.75e12	7.18 +/- 3.59	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	5.7	0.6	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	0.074 +/- 0.012	1.11 +/- 0.18	0.092 +/- 0.010	568.63 +/- 184.42	12.07 +/- 2.36	248522.41 +/- 126260.02	1.35e-8 +/- 4.37e-9	4.29e-9 +/- 1.39e-9	3.15 +/- 1.44	1.37e12 +/- 1.13e12	7.63e12 +/- 2.47e12	0.18 +/- 0.16	*
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	5.7	0.6	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	0.042 +/- 0.003	1.45 +/- 0.12	0.092 +/- 0.010	1621.11 +/- 231.59	15.76 +/- 2.15	1207942.23 +/- 372022.23	3.84e-8 +/- 5.48e-9	1.45e-8 +/- 2.07e-9	2.65 +/- 0.53	2.73e13 +/- 1.62e13	2.37e13 +/- 3.38e12	1.15 +/- 0.70	**
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	5.7	0.6	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	0.032 +/- 0.002	1.41 +/- 0.08	0.092 +/- 0.010	3378.72 +/- 422.34	15.33 +/- 1.88	2382087.81 +/- 655756.90	8.00e-8 +/- 1.00e-8	2.61e-8 +/- 3.26e-9	3.07 +/- 0.54	1.04e14 +/- 5.66e13	4.08e13 +/- 5.10e12	2.55 +/- 1.42	**
