Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	N6(HA)	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	R0(as)	r0	N6	dN6+	dN6-	R0/r0	P(in)+	P(in)-	P(wind)	P(in)/P(wind)+	P(in)/P(wind)-	F(photo)+	F(photo)-	F(star)	F(ph)/F(*)+	F(ph)/F(*)-	*
LV2b	1.0	0.0	7.21	0.09	0.01	1.7	0.05	2.2	0.6	4.13	0.0005	65	2.5	2.37 +/- 0.22	0.02	17.1 +/- 1.6	0.34 +/- 0.03	0.036 +/- 0.010	4.35	3.03	1.34	9.44 +/- 2.75	2.6e-7 +/- 2.3e-7	2.6e-7 +/- 1.7e-7	2.0e-8 +/- 3.7e-9	13.00 +/- 11.75	13.00 +/- 8.83	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	3.55e13 +/- 6.64e12	3.83 +/- 5.32	3.83 +/- 2.61	**
LV2b	0.8	0.5	7.21	0.11	0.01	1.65	0.05	2.2	0.6	4.13	0.01	22.5	2.5	1.08 +/- 0.02	0.09	7.8 +/- 0.1	0.70 +/- 9e-3	0.036 +/- 0.010	4.35	3.03	1.34	19.44 +/- 5.41	6.1e-8 +/- 5.4e-8	6.1e-8 +/- 3.9e-8	1.1e-7 +/- 2.8e-9	0.55 +/- 0.49	0.55 +/- 0.35	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	1.70e14 +/- 4.37e12	0.80 +/- 1.10	0.80 +/- 0.52	**
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.2	0.6	4.13	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.50 +/- 0.03	0.036 +/- 0.010	4.35	3.03	1.34	13.89 +/- 3.95	1.2e-7 +/- 1.1e-7	1.2e-7 +/- 7.7e-8	3.8e-8 +/- 4.9e-9	3.16 +/- 2.92	3.16 +/- 2.07	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	6.64e13 +/- 8.50e12	2.05 +/- 2.83	2.05 +/- 1.37	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.5	0.6	3.11	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.80 +/- 0.13	0.073 +/- 0.010	3.28	1.98	0.88	10.96 +/- 2.33	1.4e-7 +/- 1.1e-7	1.4e-7 +/- 7.2e-8	8.2e-9 +/- 2.7e-9	17.07 +/- 14.54	17.07 +/- 10.43	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	1.47e13 +/- 4.74e12	10.54 +/- 12.97	10.54 +/- 6.66	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.5	0.6	3.11	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	1.80 +/- 0.06	0.073 +/- 0.010	3.28	1.98	0.88	24.66 +/- 3.48	2.8e-8 +/- 1.9e-8	2.8e-8 +/- 1.1e-8	1.1e-7 +/- 7.1e-9	0.25 +/- 0.17	0.25 +/- 0.10	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	1.28e14 +/- 8.54e12	1.21 +/- 1.44	1.21 +/- 0.66	**
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.5	0.6	3.11	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	1.54 +/- 0.11	0.073 +/- 0.010	3.28	1.98	0.88	21.10 +/- 3.26	3.9e-8 +/- 2.6e-8	3.9e-8 +/- 1.6e-8	4.3e-8 +/- 6.1e-9	0.91 +/- 0.62	0.91 +/- 0.39	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	6.33e13 +/- 8.90e12	2.45 +/- 2.93	2.45 +/- 1.37	**
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.1	0.3	4.13	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	1.13 +/- 9e-3	0.050 +/- 0.005	4.35	2.49	0.77	22.60 +/- 2.27	4.5e-8 +/- 2.7e-8	4.5e-8 +/- 1.2e-8	2.1e-7 +/- 3.3e-9	0.21 +/- 0.13	0.21 +/- 0.06	1.88e14 +/- 2.10e14	1.88e14 +/- 6.73e13	2.61e14 +/- 4.15e12	0.72 +/- 0.80	0.72 +/- 0.26	**
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.1	0.3	4.13	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.94 +/- 0.02	0.050 +/- 0.005	4.35	2.49	0.77	18.80 +/- 1.92	6.5e-8 +/- 3.9e-8	6.5e-8 +/- 1.8e-8	1.2e-7 +/- 6.0e-9	0.54 +/- 0.33	0.54 +/- 0.15	1.88e14 +/- 2.10e14	1.88e14 +/- 6.73e13	1.70e14 +/- 8.74e12	1.11 +/- 1.24	1.11 +/- 0.40	**
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	5.7	0.6	2.33	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	1.56 +/- 0.06	0.092 +/- 0.010	2.46	1.45	0.60	16.96 +/- 1.96	4.5e-8 +/- 2.8e-8	4.5e-8 +/- 1.5e-8	4.2e-8 +/- 3.2e-9	1.07 +/- 0.67	1.07 +/- 0.37	1.10e14 +/- 1.27e14	1.10e14 +/- 5.38e13	6.14e13 +/- 4.72e12	1.79 +/- 2.07	1.79 +/- 0.89	**
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	5.7	0.6	2.33	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	1.11 +/- 0.18	0.092 +/- 0.010	2.46	1.45	0.60	12.07 +/- 2.36	8.9e-8 +/- 6.3e-8	8.9e-8 +/- 4.1e-8	4.3e-9 +/- 1.4e-9	20.70 +/- 16.13	20.70 +/- 11.68	1.10e14 +/- 1.27e14	1.10e14 +/- 5.38e13	7.62e12 +/- 2.48e12	14.44 +/- 17.32	14.44 +/- 8.48	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	5.7	0.6	2.33	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	1.45 +/- 0.12	0.092 +/- 0.010	2.46	1.45	0.60	15.76 +/- 2.15	5.2e-8 +/- 3.4e-8	5.2e-8 +/- 1.9e-8	1.5e-8 +/- 2.4e-9	3.47 +/- 2.33	3.47 +/- 1.38	1.10e14 +/- 1.27e14	1.10e14 +/- 5.38e13	2.42e13 +/- 3.98e12	4.55 +/- 5.30	4.55 +/- 2.35	*
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	5.7	0.6	2.33	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	1.41 +/- 0.08	0.092 +/- 0.010	2.46	1.45	0.60	15.33 +/- 1.88	5.5e-8 +/- 3.5e-8	5.5e-8 +/- 1.9e-8	2.7e-8 +/- 3.1e-9	2.04 +/- 1.32	2.04 +/- 0.74	1.10e14 +/- 1.27e14	1.10e14 +/- 5.38e13	4.21e13 +/- 4.82e12	2.61 +/- 3.03	2.61 +/- 1.31	**
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.5	0.3	4.00	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.78 +/- 0.04	0.040 +/- 0.005	4.22	2.71	0.51	19.50 +/- 2.63	5.8e-8 +/- 4.1e-8	5.8e-8 +/- 1.7e-8	5.1e-8 +/- 5.4e-9	1.14 +/- 0.81	1.14 +/- 0.35	1.42e14 +/- 1.78e14	1.42e14 +/- 3.75e13	8.27e13 +/- 8.86e12	1.72 +/- 2.16	1.72 +/- 0.49	**
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.5	0.3	4.00	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.68 +/- 0.09	0.040 +/- 0.005	4.22	2.71	0.51	17.00 +/- 3.09	7.7e-8 +/- 5.7e-8	7.7e-8 +/- 2.9e-8	1.1e-8 +/- 3.1e-9	7.00 +/- 5.54	7.00 +/- 3.29	1.42e14 +/- 1.78e14	1.42e14 +/- 3.75e13	2.01e13 +/- 5.50e12	7.06 +/- 9.06	7.06 +/- 2.69	x
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.5	0.3	4.00	0.002	62.5	2.5	2.17 +/- 0.18	0.04	14.8 +/- 1.2	0.59 +/- 0.05	0.040 +/- 0.005	4.22	2.71	0.51	14.75 +/- 2.23	1.0e-7 +/- 7.2e-8	1.0e-7 +/- 3.3e-8	2.7e-8 +/- 4.4e-9	3.70 +/- 2.73	3.70 +/- 1.36	1.42e14 +/- 1.78e14	1.42e14 +/- 3.75e13	4.73e13 +/- 7.68e12	3.00 +/- 3.79	3.00 +/- 0.93	*
168-328	0.4	3.0	6.83	0.15	0.01	1.35	0.05	2.5	0.3	4.00	0.0005	80	2.5	5.76 +/- 1.43	0.02	39.3 +/- 9.8	0.79 +/- 0.20	0.040 +/- 0.005	4.22	2.71	0.51	19.75 +/- 5.58	5.7e-8 +/- 4.9e-8	5.7e-8 +/- 3.3e-8	3.7e-9 +/- 1.8e-9	15.41 +/- 15.22	15.41 +/- 11.65	1.42e14 +/- 1.78e14	1.42e14 +/- 3.75e13	6.71e12 +/- 3.35e12	21.16 +/- 28.55	21.16 +/- 11.95	xx
168-328	0.2	8.0	6.83	0.15	0.01	1.25	0.05	2.5	0.3	4.00	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	52.3 +/- 17.3	1.05 +/- 0.35	0.040 +/- 0.005	4.22	2.71	0.51	26.25 +/- 9.35	3.2e-8 +/- 3.1e-8	3.2e-8 +/- 2.3e-8	2.1e-9 +/- 1.4e-9	15.24 +/- 17.92	15.24 +/- 14.94	1.42e14 +/- 1.78e14	1.42e14 +/- 3.75e13	3.79e12 +/- 2.51e12	37.47 +/- 53.12	37.47 +/- 26.71	xx
169-338	1.0	0.0	16.44	0.06	0.01	1.65	0.05	2.5	0.3	1.40	0.0005	57.5	2.5	1.86 +/- 0.13	0.02	30.6 +/- 2.1	0.61 +/- 0.04	0.040 +/- 0.005	1.48	1.13	0.22	15.25 +/- 2.15	3.3e-8 +/- 2.7e-8	3.3e-8 +/- 1.1e-8	6.1e-9 +/- 8.4e-10	5.41 +/- 4.49	5.41 +/- 1.95	1.86e13 +/- 2.60e13	1.86e13 +/- 5.47e12	1.11e13 +/- 1.52e12	1.68 +/- 2.35	1.68 +/- 0.54	**
169-338	1.0	0.0	16.44	0.06	0.01	1.75	0.05	2.5	0.3	1.40	0.002	35	2.5	1.22 +/- 0.04	0.04	20.1 +/- 0.7	0.80 +/- 0.03	0.040 +/- 0.005	1.48	1.13	0.22	20.00 +/- 2.61	1.9e-8 +/- 1.6e-8	1.9e-8 +/- 5.8e-9	1.5e-8 +/- 1.0e-9	1.27 +/- 1.07	1.27 +/- 0.40	1.86e13 +/- 2.60e13	1.86e13 +/- 5.47e12	2.57e13 +/- 1.79e12	0.72 +/- 1.01	0.72 +/- 0.22	**
169-338	0.8	0.5	16.44	0.06	0.01	1.35	0.05	2.5	0.3	1.40	0.0005	60	2.5	2.00 +/- 0.15	0.02	32.9 +/- 2.5	0.66 +/- 0.05	0.040 +/- 0.005	1.48	1.13	0.22	16.50 +/- 2.41	2.9e-8 +/- 2.3e-8	2.9e-8 +/- 9.4e-9	5.3e-9 +/- 8.0e-10	5.47 +/- 4.42	5.47 +/- 1.96	1.86e13 +/- 2.60e13	1.86e13 +/- 5.47e12	9.58e12 +/- 1.46e12	1.94 +/- 2.73	1.94 +/- 0.64	**
169-338	0.8	0.5	16.44	0.06	0.01	1.55	0.05	2.5	0.3	1.40	0.002	37.5	2.5	1.26 +/- 0.04	0.04	20.7 +/- 0.7	0.83 +/- 0.03	0.040 +/- 0.005	1.48	1.13	0.22	20.75 +/- 2.70	1.8e-8 +/- 1.5e-8	1.8e-8 +/- 5.4e-9	1.4e-8 +/- 9.4e-10	1.29 +/- 1.07	1.29 +/- 0.40	1.86e13 +/- 2.60e13	1.86e13 +/- 5.47e12	2.42e13 +/- 1.64e12	0.77 +/- 1.08	0.77 +/- 0.23	**
177-341	0.4	3.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.41	0.001	77.5	2.5	4.62 +/- 0.91	0.03	118.5 +/- 23.3	3.56 +/- 0.70	0.297 +/- 0.028	0.43	0.15	0.07	11.99 +/- 2.61	1.6e-8 +/- 8.8e-9	1.6e-8 +/- 7.3e-9	4.2e-10 +/- 1.6e-10	38.10 +/- 25.49	38.10 +/- 22.64	1.11e13 +/- 7.47e12	1.11e13 +/- 3.60e12	7.39e11 +/- 2.90e11	15.02 +/- 11.70	15.02 +/- 7.65	xx
177-341	0.4	3.0	25.65	0.15	0.01	1.15	0.05	18.4	1.7	0.41	0.002	72.5	2.5	3.33 +/- 0.46	0.04	85.4 +/- 11.8	3.42 +/- 0.47	0.297 +/- 0.028	0.43	0.15	0.07	11.52 +/- 1.92	1.7e-8 +/- 8.2e-9	1.7e-8 +/- 6.3e-9	8.2e-10 +/- 2.3e-10	20.73 +/- 11.57	20.73 +/- 9.64	1.11e13 +/- 7.47e12	1.11e13 +/- 3.60e12	1.42e12 +/- 3.93e11	7.82 +/- 5.69	7.82 +/- 3.33	x
177-341	0.2	8.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.41	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	196.5 +/- 65.2	3.93 +/- 1.30	0.297 +/- 0.028	0.43	0.15	0.07	13.23 +/- 4.55	1.3e-8 +/- 1.00e-8	1.3e-8 +/- 9.1e-9	1.5e-10 +/- 9.8e-11	86.67 +/- 87.47	86.67 +/- 82.99	1.11e13 +/- 7.47e12	1.11e13 +/- 3.60e12	2.69e11 +/- 1.78e11	41.26 +/- 38.94	41.26 +/- 30.41	xx
177-341	0.2	8.0	25.65	0.15	0.01	1.15	0.05	18.4	1.7	0.41	0.001	80	2.5	5.76 +/- 1.43	0.03	147.7 +/- 36.7	4.43 +/- 1.10	0.297 +/- 0.028	0.43	0.15	0.07	14.92 +/- 3.96	1.0e-8 +/- 6.5e-9	1.0e-8 +/- 5.6e-9	2.7e-10 +/- 1.3e-10	37.04 +/- 29.96	37.04 +/- 27.35	1.11e13 +/- 7.47e12	1.11e13 +/- 3.60e12	4.75e11 +/- 2.36e11	23.37 +/- 19.55	23.37 +/- 13.87	xx
177-341	0.1	18.0	25.65	0.15	0.01	1.25	0.05	18.4	1.7	0.41	0.0005	85	2.5	11.47 +/- 5.72	0.02	294.2 +/- 146.7	5.88 +/- 2.93	0.297 +/- 0.028	0.43	0.15	0.07	19.80 +/- 10.04	5.8e-9 +/- 6.2e-9	5.8e-9 +/- 5.9e-9	6.6e-11 +/- 6.6e-11	87.88 +/- 128.64	87.88 +/- 125.36	1.11e13 +/- 7.47e12	1.11e13 +/- 3.60e12	1.20e11 +/- 1.19e11	92.50 +/- 110.86	92.50 +/- 96.51	xx
180-331	0.8	0.5	25.07	0.07	0.01	1.35	0.05	11.0	1.3	0.48	0.0005	62.5	2.5	2.17 +/- 0.18	0.02	54.4 +/- 4.5	1.09 +/- 0.09	0.178 +/- 0.021	0.51	0.32	0.11	6.12 +/- 0.88	7.2e-8 +/- 4.9e-8	7.2e-8 +/- 2.6e-8	1.9e-9 +/- 3.2e-10	37.89 +/- 26.57	37.89 +/- 15.10	9.51e12 +/- 1.13e13	9.51e12 +/- 4.00e12	3.50e12 +/- 5.80e11	2.72 +/- 3.26	2.72 +/- 1.23	**
