Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	N6	dN6	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	R0(as)	r0	R0/r0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.8	0.7	3.19	0.71	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	1.80 +/- 0.06	0.077 +/- 0.011	23.38 +/- 3.43	4.6e-8 +/- 1.7e-8	1.1e-7 +/- 7.1e-9	0.42 +/- 0.16	1.55e14 +/- 7.08e13	1.28e14 +/- 8.54e12	1.21 +/- 0.56	**
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.8	0.7	3.19	0.71	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	1.54 +/- 0.11	0.077 +/- 0.011	20.00 +/- 3.19	6.3e-8 +/- 2.4e-8	4.3e-8 +/- 6.1e-9	1.47 +/- 0.60	1.55e14 +/- 7.08e13	6.33e13 +/- 8.90e12	2.45 +/- 1.17	**
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.4	0.3	4.21	0.63	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	1.13 +/- 9e-3	0.055 +/- 0.005	20.55 +/- 1.87	7.9e-8 +/- 1.9e-8	2.1e-7 +/- 3.3e-9	0.38 +/- 0.09	1.93e14 +/- 5.89e13	2.61e14 +/- 4.15e12	0.74 +/- 0.23	**
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.4	0.3	4.21	0.63	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.94 +/- 0.02	0.055 +/- 0.005	17.09 +/- 1.60	1.1e-7 +/- 2.7e-8	1.2e-7 +/- 6.0e-9	0.92 +/- 0.23	1.93e14 +/- 5.89e13	1.70e14 +/- 8.74e12	1.14 +/- 0.35	**
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	6.1	0.7	2.37	0.47	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	1.56 +/- 0.06	0.098 +/- 0.011	15.92 +/- 1.89	7.4e-8 +/- 2.3e-8	4.2e-8 +/- 3.2e-9	1.76 +/- 0.56	1.09e14 +/- 4.39e13	6.14e13 +/- 4.72e12	1.78 +/- 0.73	**
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	2.37	0.47	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	1.11 +/- 0.18	0.098 +/- 0.011	11.33 +/- 2.23	1.5e-7 +/- 6.4e-8	4.3e-9 +/- 1.4e-9	34.88 +/- 18.72	1.09e14 +/- 4.39e13	7.62e12 +/- 2.48e12	14.30 +/- 7.41	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	2.37	0.47	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	1.45 +/- 0.12	0.098 +/- 0.011	14.80 +/- 2.06	8.5e-8 +/- 2.9e-8	1.5e-8 +/- 2.4e-9	5.67 +/- 2.14	1.09e14 +/- 4.39e13	2.42e13 +/- 3.98e12	4.50 +/- 1.96	*
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	6.1	0.7	2.37	0.47	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	1.41 +/- 0.08	0.098 +/- 0.011	14.39 +/- 1.81	9.0e-8 +/- 2.9e-8	2.7e-8 +/- 3.1e-9	3.33 +/- 1.14	1.09e14 +/- 4.39e13	4.21e13 +/- 4.82e12	2.59 +/- 1.08	**
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.7	0.3	4.08	0.48	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.78 +/- 0.04	0.044 +/- 0.005	17.73 +/- 2.21	1.0e-7 +/- 2.8e-8	5.1e-8 +/- 5.4e-9	1.96 +/- 0.59	1.46e14 +/- 3.70e13	8.27e13 +/- 8.86e12	1.77 +/- 0.49	**
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	4.08	0.48	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.68 +/- 0.09	0.044 +/- 0.005	15.45 +/- 2.70	1.3e-7 +/- 5.0e-8	1.1e-8 +/- 3.1e-9	11.82 +/- 5.64	1.46e14 +/- 3.70e13	2.01e13 +/- 5.50e12	7.26 +/- 2.71	x
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	4.08	0.48	0.002	62.5	2.5	2.17 +/- 0.18	0.04	14.8 +/- 1.2	0.59 +/- 0.05	0.044 +/- 0.005	13.41 +/- 1.90	1.8e-7 +/- 5.5e-8	2.7e-8 +/- 4.4e-9	6.67 +/- 2.31	1.46e14 +/- 3.70e13	4.73e13 +/- 7.68e12	3.09 +/- 0.93	*
168-328	0.4	3.0	6.83	0.15	0.01	1.35	0.05	2.7	0.3	4.08	0.48	0.0005	80	2.5	5.76 +/- 1.43	0.02	39.3 +/- 9.8	0.79 +/- 0.20	0.044 +/- 0.005	17.95 +/- 4.98	1.00e-7 +/- 5.7e-8	3.7e-9 +/- 1.8e-9	27.03 +/- 20.25	1.46e14 +/- 3.70e13	6.71e12 +/- 3.35e12	21.76 +/- 12.18	xx
168-328	0.2	8.0	6.83	0.15	0.01	1.25	0.05	2.7	0.3	4.08	0.48	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	52.3 +/- 17.3	1.05 +/- 0.35	0.044 +/- 0.005	23.86 +/- 8.40	5.7e-8 +/- 4.0e-8	2.1e-9 +/- 1.4e-9	27.14 +/- 26.27	1.46e14 +/- 3.70e13	3.79e12 +/- 2.51e12	38.52 +/- 27.32	xx
169-338	1.0	0.0	16.44	0.06	0.01	1.65	0.05	2.7	0.3	1.43	1.09	0.0005	57.5	2.5	1.86 +/- 0.13	0.02	30.6 +/- 2.1	0.61 +/- 0.04	0.044 +/- 0.005	13.86 +/- 1.82	5.9e-8 +/- 4.7e-8	6.1e-9 +/- 8.4e-10	9.67 +/- 7.82	1.90e13 +/- 2.66e13	1.11e13 +/- 1.52e12	1.71 +/- 2.41	**
169-338	1.0	0.0	16.44	0.06	0.01	1.75	0.05	2.7	0.3	1.43	1.09	0.002	35	2.5	1.22 +/- 0.04	0.04	20.1 +/- 0.7	0.80 +/- 0.03	0.044 +/- 0.005	18.18 +/- 2.18	3.4e-8 +/- 2.7e-8	1.5e-8 +/- 1.0e-9	2.27 +/- 1.81	1.90e13 +/- 2.66e13	2.57e13 +/- 1.79e12	0.74 +/- 1.04	**
169-338	0.8	0.5	16.44	0.06	0.01	1.35	0.05	2.7	0.3	1.43	1.09	0.0005	60	2.5	2.00 +/- 0.15	0.02	32.9 +/- 2.5	0.66 +/- 0.05	0.044 +/- 0.005	15.00 +/- 2.05	5.0e-8 +/- 4.1e-8	5.3e-9 +/- 8.0e-10	9.43 +/- 7.87	1.90e13 +/- 2.66e13	9.58e12 +/- 1.46e12	1.98 +/- 2.79	**
169-338	0.8	0.5	16.44	0.06	0.01	1.55	0.05	2.7	0.3	1.43	1.09	0.002	37.5	2.5	1.26 +/- 0.04	0.04	20.7 +/- 0.7	0.83 +/- 0.03	0.044 +/- 0.005	18.86 +/- 2.25	3.2e-8 +/- 2.5e-8	1.4e-8 +/- 9.4e-10	2.29 +/- 1.79	1.90e13 +/- 2.66e13	2.42e13 +/- 1.64e12	0.79 +/- 1.10	**
177-341	0.4	3.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.42	0.06	0.001	77.5	2.5	4.62 +/- 0.91	0.03	118.5 +/- 23.3	3.56 +/- 0.70	0.316 +/- 0.031	11.27 +/- 2.48	2.6e-8 +/- 1.2e-8	4.2e-10 +/- 1.6e-10	61.90 +/- 37.05	1.12e13 +/- 3.25e12	7.39e11 +/- 2.90e11	15.16 +/- 7.40	xx
177-341	0.4	3.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.42	0.06	0.002	72.5	2.5	3.33 +/- 0.46	0.04	85.4 +/- 11.8	3.42 +/- 0.47	0.316 +/- 0.031	10.82 +/- 1.83	2.8e-8 +/- 1.0e-8	8.2e-10 +/- 2.3e-10	34.15 +/- 15.51	1.12e13 +/- 3.25e12	1.42e12 +/- 3.93e11	7.89 +/- 3.16	x
177-341	0.2	8.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.42	0.06	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	196.5 +/- 65.2	3.93 +/- 1.30	0.316 +/- 0.031	12.44 +/- 4.29	2.1e-8 +/- 1.5e-8	1.5e-10 +/- 9.8e-11	140.00 +/- 135.52	1.12e13 +/- 3.25e12	2.69e11 +/- 1.78e11	41.64 +/- 30.08	xx
177-341	0.2	8.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.42	0.06	0.001	80	2.5	5.76 +/- 1.43	0.03	147.7 +/- 36.7	4.43 +/- 1.10	0.316 +/- 0.031	14.02 +/- 3.74	1.7e-8 +/- 9.3e-9	2.7e-10 +/- 1.3e-10	62.96 +/- 45.89	1.12e13 +/- 3.25e12	4.75e11 +/- 2.36e11	23.58 +/- 13.57	xx
177-341	0.1	18.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.42	0.06	0.0005	85	2.5	11.47 +/- 5.72	0.02	294.2 +/- 146.7	5.88 +/- 2.93	0.316 +/- 0.031	18.61 +/- 9.45	9.6e-9 +/- 9.8e-9	6.6e-11 +/- 6.6e-11	145.45 +/- 207.86	1.12e13 +/- 3.25e12	1.20e11 +/- 1.19e11	93.33 +/- 96.44	xx
180-331	0.8	0.5	25.07	0.07	0.01	1.35	0.05	11.7	1.3	0.49	0.08	0.0005	62.5	2.5	2.17 +/- 0.18	0.02	54.4 +/- 4.5	1.09 +/- 0.09	0.189 +/- 0.021	5.77 +/- 0.80	1.2e-7 +/- 3.7e-8	1.9e-9 +/- 3.2e-10	63.16 +/- 22.19	9.31e12 +/- 3.03e12	3.50e12 +/- 5.80e11	2.66 +/- 0.97	**
