Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.4	0.6	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.025 +/- 0.002	0.50 +/- 0.03	0.039 +/- 0.010	12611.01 +/- 2017.76	12.82 +/- 3.38	4145299.52 +/- 2284230.81	1.33e-7 +/- 2.12e-8	3.84e-8 +/- 6.14e-9	3.46 +/- 0.78	1.33e14 +/- 1.45e14	6.68e13 +/- 1.07e13	1.99 +/- 2.19	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.8	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.053 +/- 0.009	0.80 +/- 0.13	0.077 +/- 0.011	1662.78 +/- 564.72	10.39 +/- 2.25	359001.19 +/- 197590.18	1.75e-8 +/- 5.94e-9	8.37e-9 +/- 2.84e-9	2.09 +/- 1.00	2.33e12 +/- 2.15e12	1.49e13 +/- 5.05e12	0.16 +/- 0.15	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.8	0.7	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	0.018 +/- 6.71e-4	1.80 +/- 0.06	0.077 +/- 0.011	29192.15 +/- 2176.44	23.38 +/- 3.43	31914282.96 +/- 9661641.96	3.07e-7 +/- 2.29e-8	1.07e-7 +/- 7.95e-9	2.87 +/- 0.30	1.53e16 +/- 9.50e15	1.29e14 +/- 9.61e12	118.60 +/- 74.17	xx
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.8	0.7	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	0.026 +/- 0.002	1.54 +/- 0.11	0.077 +/- 0.011	12955.10 +/- 1993.09	20.00 +/- 3.19	10364080.00 +/- 3670546.65	1.36e-7 +/- 2.10e-8	4.23e-8 +/- 6.50e-9	3.22 +/- 0.70	1.62e15 +/- 1.16e15	6.18e13 +/- 9.51e12	26.21 +/- 19.20	x
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.4	0.3	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	0.013 +/- 2.31e-4	1.13 +/- 9e-3	0.055 +/- 0.005	38385.48 +/- 1364.16	20.55 +/- 1.87	32420568.34 +/- 6011826.80	4.04e-7 +/- 1.44e-8	1.95e-7 +/- 6.92e-9	2.07 +/- 0.10	1.12e16 +/- 4.25e15	2.47e14 +/- 8.79e12	45.34 +/- 17.28	xx
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.4	0.3	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.016 +/- 4.77e-4	0.94 +/- 0.02	0.055 +/- 0.005	22806.37 +/- 1359.83	17.09 +/- 1.60	13322026.31 +/- 2617886.91	2.40e-7 +/- 1.43e-8	1.12e-7 +/- 6.65e-9	2.14 +/- 0.18	1.90e15 +/- 7.58e14	1.63e14 +/- 9.73e12	11.66 +/- 4.70	x
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	6.1	0.7	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	0.026 +/- 0.001	1.56 +/- 0.06	0.098 +/- 0.011	12955.10 +/- 996.55	15.92 +/- 1.89	6566846.91 +/- 1638998.99	1.36e-7 +/- 1.05e-8	4.23e-8 +/- 3.25e-9	3.22 +/- 0.35	8.28e14 +/- 4.20e14	6.18e13 +/- 4.75e12	13.40 +/- 6.87	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	0.074 +/- 0.012	1.11 +/- 0.18	0.098 +/- 0.011	1279.42 +/- 414.95	11.33 +/- 2.23	328475.48 +/- 167536.76	1.35e-8 +/- 4.37e-9	4.29e-9 +/- 1.39e-9	3.15 +/- 1.44	2.41e12 +/- 2.12e12	7.63e12 +/- 2.47e12	0.32 +/- 0.30	*
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	0.042 +/- 0.003	1.45 +/- 0.12	0.098 +/- 0.011	3647.50 +/- 521.07	14.80 +/- 2.06	1597896.80 +/- 499972.11	3.84e-8 +/- 5.48e-9	1.45e-8 +/- 2.07e-9	2.65 +/- 0.53	5.04e13 +/- 3.09e13	2.37e13 +/- 3.38e12	2.13 +/- 1.34	**
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	6.1	0.7	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	0.032 +/- 0.002	1.41 +/- 0.08	0.098 +/- 0.011	7602.12 +/- 950.27	14.39 +/- 1.81	3148373.91 +/- 884403.96	8.00e-8 +/- 1.00e-8	2.61e-8 +/- 3.26e-9	3.07 +/- 0.54	1.92e14 +/- 1.08e14	4.08e13 +/- 5.10e12	4.71 +/- 2.71	**
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.7	0.3	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.022 +/- 0.001	0.78 +/- 0.04	0.044 +/- 0.005	13293.78 +/- 1208.53	17.73 +/- 2.21	8357876.59 +/- 2217792.31	1.40e-7 +/- 1.27e-8	5.28e-8 +/- 4.80e-9	2.65 +/- 0.34	5.98e14 +/- 3.19e14	8.63e13 +/- 7.85e12	6.93 +/- 3.75	x
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.046 +/- 0.006	0.68 +/- 0.09	0.044 +/- 0.005	3311.02 +/- 863.74	15.45 +/- 2.70	1580697.50 +/- 689395.58	3.48e-8 +/- 9.09e-9	1.11e-8 +/- 2.90e-9	3.14 +/- 1.16	2.28e13 +/- 1.85e13	1.97e13 +/- 5.15e12	1.16 +/- 0.99	**
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	0.002	62.5	2.5	2.17 +/- 0.18	0.04	14.8 +/- 1.2	0.030 +/- 0.002	0.59 +/- 0.05	0.044 +/- 0.005	8757.65 +/- 1167.69	13.41 +/- 1.90	3149743.12 +/- 986411.78	9.22e-8 +/- 1.23e-8	2.67e-8 +/- 3.56e-9	3.45 +/- 0.65	8.70e13 +/- 5.32e13	4.64e13 +/- 6.19e12	1.88 +/- 1.17	**
168-328	0.4	3.0	6.83	0.15	0.01	1.35	0.05	2.7	0.3	0.0005	80	2.5	5.76 +/- 1.43	0.02	39.3 +/- 9.8	0.079 +/- 0.020	0.79 +/- 0.20	0.044 +/- 0.005	3367.79 +/- 1705.21	17.95 +/- 4.98	2170220.71 +/- 1630202.74	3.54e-8 +/- 1.79e-8	3.69e-9 +/- 1.87e-9	9.59 +/- 6.87	4.21e13 +/- 5.98e13	6.69e12 +/- 3.39e12	6.29 +/- 9.49	x
168-328	0.2	8.0	6.83	0.15	0.01	1.25	0.05	2.7	0.3	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	52.3 +/- 17.3	0.105 +/- 0.035	1.05 +/- 0.35	0.044 +/- 0.005	4289.46 +/- 2859.64	23.86 +/- 8.40	4883975.72 +/- 4735722.89	4.51e-8 +/- 3.01e-8	2.09e-9 +/- 1.39e-9	21.58 +/- 20.33	2.06e14 +/- 3.90e14	3.79e12 +/- 2.53e12	54.35 +/- 109.11	xx
169-338	1.0	0.0	16.44	0.06	0.01	1.65	0.05	2.7	0.3	0.0005	57.5	2.5	1.86 +/- 0.13	0.02	30.6 +/- 2.1	0.061 +/- 0.004	0.61 +/- 0.04	0.044 +/- 0.005	1412.14 +/- 185.20	13.86 +/- 1.82	542543.06 +/- 159264.32	1.49e-8 +/- 1.95e-9	6.19e-9 +/- 8.12e-10	2.41 +/- 0.45	3.08e12 +/- 1.49e12	1.12e13 +/- 1.47e12	0.28 +/- 0.14	*
169-338	1.0	0.0	16.44	0.06	0.01	1.75	0.05	2.7	0.3	0.002	35	2.5	1.22 +/- 0.04	0.04	20.1 +/- 0.7	0.040 +/- 0.002	0.80 +/- 0.03	0.044 +/- 0.005	3284.12 +/- 328.41	18.18 +/- 2.18	2170884.77 +/- 564076.83	3.46e-8 +/- 3.46e-9	1.50e-8 +/- 1.50e-9	2.31 +/- 0.33	4.21e13 +/- 2.11e13	2.61e13 +/- 2.61e12	1.61 +/- 0.82	**
169-338	0.8	0.5	16.44	0.06	0.01	1.35	0.05	2.7	0.3	0.0005	60	2.5	2.00 +/- 0.15	0.02	32.9 +/- 2.5	0.066 +/- 0.005	0.66 +/- 0.05	0.044 +/- 0.005	1809.43 +/- 274.16	15.00 +/- 2.05	814243.50 +/- 254467.20	1.90e-8 +/- 2.89e-9	5.29e-9 +/- 8.01e-10	3.59 +/- 0.77	6.48e12 +/- 3.56e12	9.59e12 +/- 1.45e12	0.68 +/- 0.39	**
169-338	0.8	0.5	16.44	0.06	0.01	1.55	0.05	2.7	0.3	0.002	37.5	2.5	1.26 +/- 0.04	0.04	20.7 +/- 0.7	0.042 +/- 0.002	0.83 +/- 0.03	0.044 +/- 0.005	4468.19 +/- 425.54	18.86 +/- 2.25	3178666.79 +/- 816615.98	4.70e-8 +/- 4.48e-9	1.36e-8 +/- 1.30e-9	3.46 +/- 0.47	8.86e13 +/- 4.48e13	2.37e13 +/- 2.26e12	3.74 +/- 1.92	*
177-341	0.4	3.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.001	77.5	2.5	4.62 +/- 0.91	0.03	118.5 +/- 23.3	0.238 +/- 0.047	3.56 +/- 0.70	0.316 +/- 0.031	329.83 +/- 130.27	11.27 +/- 2.48	83785.33 +/- 49545.97	3.47e-9 +/- 1.37e-9	4.15e-10 +/- 1.64e-10	8.36 +/- 4.67	5.21e11 +/- 5.12e11	7.38e11 +/- 2.91e11	0.71 +/- 0.75	**
177-341	0.4	3.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.002	72.5	2.5	3.33 +/- 0.46	0.04	85.4 +/- 11.8	0.171 +/- 0.024	3.42 +/- 0.47	0.316 +/- 0.031	718.80 +/- 201.77	10.82 +/- 1.83	168303.28 +/- 73980.01	7.56e-9 +/- 2.12e-9	8.21e-10 +/- 2.30e-10	9.21 +/- 3.65	1.92e12 +/- 1.53e12	1.43e12 +/- 4.01e11	1.34 +/- 1.13	**
177-341	0.2	8.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.0005	82.5	2.5	7.66 +/- 2.54	0.02	196.5 +/- 65.2	0.394 +/- 0.131	3.93 +/- 1.30	0.316 +/- 0.031	304.64 +/- 202.58	12.44 +/- 4.29	94288.27 +/- 90334.92	3.21e-9 +/- 2.13e-9	1.48e-10 +/- 9.87e-11	21.69 +/- 20.40	6.47e11 +/- 1.05e12	2.69e11 +/- 1.79e11	2.41 +/- 4.22	**
177-341	0.2	8.0	25.65	0.15	0.01	1.15	0.05	19.6	1.9	0.001	80	2.5	5.76 +/- 1.43	0.03	147.7 +/- 36.7	0.296 +/- 0.074	4.43 +/- 1.10	0.316 +/- 0.031	479.78 +/- 239.89	14.02 +/- 3.74	188611.50 +/- 137911.94	5.05e-9 +/- 2.52e-9	2.68e-10 +/- 1.34e-10	18.84 +/- 13.31	2.38e12 +/- 3.19e12	4.77e11 +/- 2.38e11	4.99 +/- 7.14	**
177-341	0.1	18.0	25.65	0.15	0.01	1.25	0.05	19.6	1.9	0.0005	85	2.5	11.47 +/- 5.72	0.02	294.2 +/- 146.7	0.590 +/- 0.295	5.88 +/- 2.93	0.316 +/- 0.031	286.81 +/- 286.81	18.61 +/- 9.45	198663.02 +/- 283149.44	3.02e-9 +/- 3.02e-9	6.62e-11 +/- 6.62e-11	45.62 +/- 64.52	2.63e12 +/- 6.89e12	1.20e11 +/- 1.20e11	21.92 +/- 61.46	xx
180-331	0.8	0.5	25.07	0.07	0.01	1.35	0.05	11.7	1.3	0.0005	62.5	2.5	2.17 +/- 0.18	0.02	54.4 +/- 4.5	0.109 +/- 0.009	1.09 +/- 0.09	0.189 +/- 0.021	663.40 +/- 109.55	5.77 +/- 0.80	44173.02 +/- 14256.50	6.98e-9 +/- 1.15e-9	1.94e-9 +/- 3.20e-10	3.60 +/- 0.84	1.20e11 +/- 4.92e10	3.52e12 +/- 5.81e11	0.03 +/- 0.02	x
