Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.4	0.6	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.025 +/- 0.002	0.50 +/- 0.03	0.039 +/- 0.010	6759.24 +/- 1081.48	12.82 +/- 3.38	3332691.95 +/- 1836450.91	1.60e-7 +/- 2.56e-8	1.39e-7 +/- 2.22e-8	1.15 +/- 0.26	8.68e13 +/- 9.40e13	6.68e13 +/- 1.07e13	1.30 +/- 1.42	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.8	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.053 +/- 0.009	0.80 +/- 0.13	0.077 +/- 0.011	1336.82 +/- 454.02	10.39 +/- 2.25	432937.58 +/- 238284.69	3.17e-8 +/- 1.08e-8	3.03e-8 +/- 1.03e-8	1.05 +/- 0.50	3.28e12 +/- 3.13e12	1.49e13 +/- 5.05e12	0.22 +/- 0.22	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.8	0.7	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	0.018 +/- 6.71e-4	1.80 +/- 0.06	0.077 +/- 0.011	15646.39 +/- 1166.53	23.38 +/- 3.43	25658095.64 +/- 7767662.31	3.70e-7 +/- 2.76e-8	3.86e-7 +/- 2.88e-8	0.96 +/- 0.10	9.89e15 +/- 6.14e15	1.29e14 +/- 9.61e12	76.67 +/- 47.94	xx
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.8	0.7	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	0.026 +/- 0.002	1.54 +/- 0.11	0.077 +/- 0.011	6943.66 +/- 1068.26	20.00 +/- 3.19	8332392.00 +/- 2951006.28	1.64e-7 +/- 2.53e-8	1.53e-7 +/- 2.35e-8	1.07 +/- 0.23	1.05e15 +/- 7.52e14	6.18e13 +/- 9.51e12	16.99 +/- 12.45	x
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.4	0.3	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	0.013 +/- 2.31e-4	1.13 +/- 9e-3	0.055 +/- 0.005	30860.73 +/- 1096.74	20.55 +/- 1.87	39097690.29 +/- 7249981.65	7.31e-7 +/- 2.60e-8	7.04e-7 +/- 2.50e-8	1.04 +/- 0.05	1.63e16 +/- 6.18e15	2.47e14 +/- 8.79e12	65.99 +/- 25.13	xx
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.4	0.3	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.016 +/- 4.77e-4	0.94 +/- 0.02	0.055 +/- 0.005	18335.61 +/- 1093.26	17.09 +/- 1.60	16065740.33 +/- 3157048.88	4.34e-7 +/- 2.59e-8	4.04e-7 +/- 2.41e-8	1.07 +/- 0.09	2.76e15 +/- 1.10e15	1.63e14 +/- 9.73e12	16.93 +/- 6.82	x
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	6.1	0.7	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	0.026 +/- 0.001	1.56 +/- 0.06	0.098 +/- 0.011	6943.66 +/- 534.13	15.92 +/- 1.89	5279536.89 +/- 1317703.33	1.64e-7 +/- 1.26e-8	1.53e-7 +/- 1.18e-8	1.07 +/- 0.12	5.36e14 +/- 2.72e14	6.18e13 +/- 4.75e12	8.67 +/- 4.45	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	0.074 +/- 0.012	1.11 +/- 0.18	0.098 +/- 0.011	685.74 +/- 222.40	11.33 +/- 2.23	264083.07 +/- 134692.92	1.62e-8 +/- 5.27e-9	1.55e-8 +/- 5.04e-9	1.05 +/- 0.48	1.62e12 +/- 1.37e12	7.63e12 +/- 2.47e12	0.21 +/- 0.19	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	0.042 +/- 0.003	1.45 +/- 0.12	0.098 +/- 0.011	1954.98 +/- 279.28	14.80 +/- 2.06	1284656.46 +/- 401960.50	4.63e-8 +/- 6.61e-9	5.25e-8 +/- 7.49e-9	0.88 +/- 0.18	3.28e13 +/- 2.00e13	2.37e13 +/- 3.38e12	1.38 +/- 0.87	**
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	6.1	0.7	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	0.032 +/- 0.002	1.41 +/- 0.08	0.098 +/- 0.011	4074.58 +/- 509.32	14.39 +/- 1.81	2531195.51 +/- 711032.08	9.65e-8 +/- 1.21e-8	9.44e-8 +/- 1.18e-8	1.02 +/- 0.18	1.25e14 +/- 6.99e13	4.08e13 +/- 5.10e12	3.06 +/- 1.76	**
